otu	statistic	p.value	parameter	method	WM	C	WMR	CWM	RM	1RM1	WMN	CN	p.value.adj
Lachnospiraceae (OTU 94)	18.769652362267934	0.008940384644367989	7	Kruskal-Wallis rank sum test	0	0	0	0	0.002	0.001	0	0	0.0264989779098835
Clostridiales (OTU 115)	18.660263591192486	0.009320915368164382	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.0015	0.02738018889398287
Lachnospiraceae (OTU 26)	18.60296233726486	0.009526416037691013	7	Kruskal-Wallis rank sum test	0	0	0.002	0	0	0.003	0.011000000000000001	0	0.027736202446020736
Lachnospiraceae (OTU 160)	18.37721518987334	0.010379187726453467	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.029953971596519215
Lachnospiraceae (OTU 36)	17.93898147439547	0.012248359808950936	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.03504095980125963
Clostridium (OTU 201)	17.869708994709097	0.012571884238516448	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.03565646477993027
Lachnospiraceae (OTU 211)	17.67362784471196	0.01353259069638779	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.03805318238556908
Lachnospiraceae (OTU 140)	17.597643097643335	0.013923436988168062	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.03882043024667197
Lachnospiraceae (OTU 227)	17.388949738347172	0.015053179760352784	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.041617614631563576
Acetatifactor (OTU 79)	17.274304635154635	0.01571051325003999	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	5e-4	0.04307299049385964
Lachnospiraceae (OTU 81)	16.625741769709954	0.019975570514695135	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.0543137413168157
Lachnospiraceae (OTU 58)	16.56558058102162	0.020422693480443645	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	5e-4	0.0550743127464423
Clostridiales (OTU 91)	16.396904424927495	0.02172750793894334	7	Kruskal-Wallis rank sum test	0	0	0.001	0	0	0	0	0	0.05811666757652324
Lachnospiraceae (OTU 41)	16.045072447319505	0.024707747389597755	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.06555523299336824
Lachnospiraceae (OTU 82)	15.410055907899554	0.03108795472474197	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0.001	0	0	0.08182349683552087
Enterorhabdus (OTU 109)	15.243749162978295	0.032998782453378894	7	Kruskal-Wallis rank sum test	5e-4	0	0	0	0	0	5e-4	0.0015	0.08616348751715601
Porphyromonadaceae (OTU 40)	15.178758169934286	0.03377504837623009	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.08749599146283228
Lachnospiraceae (OTU 120)	15.04561193097522	0.035419151200834664	7	Kruskal-Wallis rank sum test	0	0	0	0	0.001	0	5e-4	0	0.09103828707089535
Alistipes (OTU 18)	14.897486772487008	0.03733615718030596	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.09448919778708201
Dialister (OTU 320)	14.897486772487008	0.03733615718030596	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.09448919778708201
Lachnospiraceae (OTU 72)	14.865588625526268	0.037761482025667543	7	Kruskal-Wallis rank sum test	0	0	0	0	0.004	0	5e-4	0	0.09483608844614215
Blautia (OTU 132)	14.79471470909375	0.03872276589293107	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	5e-4	0	0.09651356044526001
Lachnospiraceae (OTU 84)	14.529545758426707	0.0425256786046119	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.10519509970614523
Clostridiales (OTU 154)	14.428134704154445	0.04406992307937615	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.10820152756055786
Lachnospiraceae (OTU 103)	14.3812087693514	0.04480200418091397	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0.004	0	0	0.10918414352237553
Akkermansia (OTU 3)	14.25097671056437	0.04689335397432738	7	Kruskal-Wallis rank sum test	0.012	0.31	0.088	0.138	0.003	0.06	0.023	0.28500000000000003	0.11201670403942328
Lachnospiraceae (OTU 64)	14.21748428253298	0.047445658282331264	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0.001	0	0	0.11201670403942328
Acetatifactor (OTU 78)	14.204182333561608	0.04766668256996735	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.11201670403942328
Akkermansia (OTU 200)	14.220634920634929	0.04739344692671172	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.11201670403942328
Akkermansia (OTU 264)	14.275282949981664	0.046496276388668094	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.11201670403942328
Erysipelotrichaceae (OTU 142)	14.113428521600666	0.049200304870325624	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.001	0	0.11480071136409313
Oscillibacter (OTU 119)	13.947466830862988	0.0521236343269813	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.12076532178575243
Lachnospiraceae (OTU 85)	13.793807212488854	0.05497259955044519	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.12138245135635214
Veillonella (OTU 192)	13.798701298701403	0.054879686891807264	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.12138245135635214
Clostridiales (OTU 199)	13.798701298701403	0.054879686891807264	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.12138245135635214
Coriobacteriaceae (OTU 204)	13.798701298701403	0.054879686891807264	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.12138245135635214
Lachnospiraceae (OTU 305)	13.798701298701403	0.054879686891807264	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.12138245135635214
Lachnospiraceae (OTU 317)	13.798701298701403	0.054879686891807264	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.12138245135635214
Clostridium (OTU 572)	13.798701298701403	0.054879686891807264	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.12138245135635214
Lachnospiraceae (OTU 121)	13.512292762587396	0.06056755100102199	7	Kruskal-Wallis rank sum test	0	0	0	0	0.002	0.001	0	0	0.13284482852890825
Lachnospiraceae (OTU 112)	13.461994717309251	0.06162067068626985	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.13425960699193892
Bacteria (OTU 310)	13.333333333332535	0.06439143255907888	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.13579988020472405
Akkermansia (OTU 927)	13.333333333332535	0.06439143255907888	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.13579988020472405
Ruminococcaceae (OTU 1702)	13.333333333332535	0.06439143255907888	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.13579988020472405
Lachnospiraceae (OTU 2502)	13.333333333332535	0.06439143255907888	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.13579988020472405
Ruminococcaceae (OTU 3632)	13.333333333332535	0.06439143255907888	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.13579988020472405
Acetatifactor (OTU 165)	13.296159182183207	0.06521298213288625	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.13665650395999732
Anaeroplasma (OTU 89)	12.7877831947234	0.07745095503348724	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.15925852628760814
Lachnospiraceae (OTU 174)	12.791451520367325	0.0773556314272898	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.15925852628760814
Lachnospiraceae (OTU 180)	12.795121951219652	0.0772603596450449	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.15925852628760814
