otu	statistic	p.value	parameter	method	WM	WMR	CWM	RM	FRM	M1	1RM1	p.value.adj
Lachnospiraceae (OTU 84)	6.5890804597700265	0.3605241246664047	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.5259410759839316
Clostridium (OTU 268)	6.5890804597700265	0.3605241246664047	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.5259410759839316
Alistipes (OTU 289)	6.5890804597700265	0.3605241246664047	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.5259410759839316
Lachnospiraceae (OTU 82)	6.50692520775624	0.36885808144758836	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.5281113413971638
Clostridium (OTU 126)	6.46988304093557	0.37265921267945024	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.5281113413971638
Clostridiales (OTU 197)	6.46988304093557	0.37265921267945024	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.5281113413971638
Faecalibacterium (OTU 262)	6.46988304093557	0.37265921267945024	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.5281113413971638
Fusobacterium (OTU 350)	6.46988304093557	0.37265921267945024	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.5281113413971638
Lachnospiraceae (OTU 77)	6.164912280702005	0.4049725201509061	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.5706430965762769
Lachnospiraceae (OTU 125)	5.494506048387129	0.4821209721266332	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.6755141304373166
