otu	statistic	p.value	parameter	method	WM	C	WMR	WMC	p.value.adj
Bradyrhizobium (OTU 315)	2.099999999999909	0.5519127633397297	3	Kruskal-Wallis rank sum test	0	0	0	0	0.5716239334590059
Lachnospiraceae (OTU 326)	2.099999999999909	0.5519127633397297	3	Kruskal-Wallis rank sum test	0	0	0	0	0.5716239334590059
Clostridium_sensu (OTU 345)	2.099999999999909	0.5519127633397297	3	Kruskal-Wallis rank sum test	0	0	0	0	0.5716239334590059
Subdoligranulum (OTU 469)	2.099999999999909	0.5519127633397297	3	Kruskal-Wallis rank sum test	0	0	0	0	0.5716239334590059
Clostridium (OTU 598)	2.099999999999909	0.5519127633397297	3	Kruskal-Wallis rank sum test	0	0	0	0	0.5716239334590059
Megasphaera (OTU 636)	2.099999999999909	0.5519127633397297	3	Kruskal-Wallis rank sum test	0	0	0	0	0.5716239334590059
Lachnospiraceae (OTU 722)	2.099999999999909	0.5519127633397297	3	Kruskal-Wallis rank sum test	0	0	0	0	0.5716239334590059
Lachnospiraceae (OTU 762)	2.099999999999909	0.5519127633397297	3	Kruskal-Wallis rank sum test	0	0	0	0	0.5716239334590059
Ruminococcaceae (OTU 903)	2.099999999999909	0.5519127633397297	3	Kruskal-Wallis rank sum test	0	0	0	0	0.5716239334590059
Prevotella (OTU 995)	2.099999999999909	0.5519127633397297	3	Kruskal-Wallis rank sum test	0	0	0	0	0.5716239334590059
Campylobacter (OTU 2305)	2.099999999999909	0.5519127633397297	3	Kruskal-Wallis rank sum test	0	0	0	0	0.5716239334590059
Lachnospiraceae (OTU 2417)	2.099999999999909	0.5519127633397297	3	Kruskal-Wallis rank sum test	0	0	0	0	0.5716239334590059
Erysipelotrichaceae (OTU 4105)	2.099999999999909	0.5519127633397297	3	Kruskal-Wallis rank sum test	0	0	0	0	0.5716239334590059
Lachnospiraceae (OTU 239)	1.939655172413793	0.5850254766554387	3	Kruskal-Wallis rank sum test	0	0	0	0	0.6032262692624968
Lachnospiraceae (OTU 116)	1.7571428571428531	0.624305233638411	3	Kruskal-Wallis rank sum test	0	0	0	0	0.6408797088677494
Clostridium (OTU 268)	1.566666666666652	0.6669713206965261	3	Kruskal-Wallis rank sum test	0	0	0	0	0.6816623189497535
Clostridiales (OTU 137)	1.5150000000000323	0.678812690612001	3	Kruskal-Wallis rank sum test	0	0	0	0	0.6817512736882434
Ruminococcaceae (OTU 153)	1.5150000000000323	0.678812690612001	3	Kruskal-Wallis rank sum test	0	0	0	0	0.6817512736882434
