genus	statistic	p.value	parameter	method	WM	C	WMR	WMC	p.value.adj	day
Akkermansia	4.841320696144515	0.08886291762400962	2	Kruskal-Wallis rank sum test	0.031	0.012	0.116	NA	0.4400026206921462	30
Dialister	4.810189400837729	0.0902569478342864	2	Kruskal-Wallis rank sum test	0	0	0	NA	0.4400026206921462	30
Bacteroidales Unclassified	4.646452056118794	0.09795706308947241	2	Kruskal-Wallis rank sum test	0	0.001	0	NA	0.4494500541752263	30
Clostridium IV	4.27929807666589	0.11769614260848517	2	Kruskal-Wallis rank sum test	0	0.001	0.001	NA	0.5100166179701023	30
Acidaminococcus	1.5294117647057408	0.46547081402409457	2	Kruskal-Wallis rank sum test	0	0	0	NA	0.5820083450636703	30
Actinobacillus	1.5294117647057408	0.46547081402409457	2	Kruskal-Wallis rank sum test	0	0	0	NA	0.5820083450636703	30
Aerococcus	1.5294117647057408	0.46547081402409457	2	Kruskal-Wallis rank sum test	0	0	0	NA	0.5820083450636703	30
Aestuariispira	1.5294117647057408	0.46547081402409457	2	Kruskal-Wallis rank sum test	0	0	0	NA	0.5820083450636703	30
Alloprevotella	1.5294117647057408	0.46547081402409457	2	Kruskal-Wallis rank sum test	0	0	0	NA	0.5820083450636703	30
Aurantimonadaceae Unclassified	1.5294117647057408	0.46547081402409457	2	Kruskal-Wallis rank sum test	0	0	0	NA	0.5820083450636703	30
Bacillus	2.3147058823529987	0.3143170964998343	2	Kruskal-Wallis rank sum test	0	0	0	NA	0.5820083450636703	30
Barnesiella	1.5294117647057408	0.46547081402409457	2	Kruskal-Wallis rank sum test	0	0	0	NA	0.5820083450636703	30
Bilophila	1.5294117647057408	0.46547081402409457	2	Kruskal-Wallis rank sum test	0	0	0	NA	0.5820083450636703	30
Blautia	3.6385444186840483	0.16214371468301236	2	Kruskal-Wallis rank sum test	0	0	0.001	NA	0.5820083450636703	30
Brachybacterium	1.5294117647057408	0.46547081402409457	2	Kruskal-Wallis rank sum test	0	0	0	NA	0.5820083450636703	30
Burkholderia	1.5294117647057408	0.46547081402409457	2	Kruskal-Wallis rank sum test	0	0	0	NA	0.5820083450636703	30
