otu	statistic	p.value	parameter	method	WM	C	WMR	CWM	RM	FRM	WMC	1RM1	WMN	CN	p.value.adj
Ruminococcus (OTU 485)	10.375000000000217	0.3209882275399131	9	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0	0.5496566102250424
Ruminococcaceae (OTU 770)	10.375000000000217	0.3209882275399131	9	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0	0.5496566102250424
Porphyromonadaceae (OTU 925)	10.375000000000217	0.3209882275399131	9	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0	0.5496566102250424
Turicibacter (OTU 1127)	10.375000000000217	0.3209882275399131	9	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0	0.5496566102250424
Flavobacterium (OTU 4202)	10.375000000000217	0.3209882275399131	9	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0	0.5496566102250424
Lachnospiraceae (OTU 5447)	10.375000000000217	0.3209882275399131	9	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0	0.5496566102250424
Ruminococcaceae (OTU 5542)	10.375000000000217	0.3209882275399131	9	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0	0.5496566102250424
Clostridiales (OTU 35)	10.081514514655751	0.3439265662095766	9	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0	0.5813996714495224
Lachnospiraceae (OTU 11)	9.982380425999784	0.35191350433166646	9	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0	0.5902171371861807
Clostridium (OTU 22)	9.856060606060828	0.3622632168356302	9	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0	0.6028286342655408
Bacteroides (OTU 261)	9.480337078651532	0.3941660256232189	9	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0	0.6508322748662452
Lachnospiraceae (OTU 29)	9.401737967913743	0.4010463618377794	9	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0	0.6516502127020608
Porphyromonadaceae (OTU 80)	9.301299589603087	0.40993933666087873	9	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0	0.6516502127020608
Streptococcus (OTU 166)	9.111111111111455	0.42708157572178734	9	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0	0.6516502127020608
Lachnospiraceae (OTU 167)	9.111111111111455	0.42708157572178734	9	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0	0.6516502127020608
Coriobacteriaceae (OTU 204)	9.097593582887384	0.42831469379478176	9	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0	0.6516502127020608
Escherichia/Shigella (OTU 342)	9.111111111111455	0.42708157572178734	9	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0	0.6516502127020608
Pseudomonas (OTU 392)	9.111111111111455	0.42708157572178734	9	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0	0.6516502127020608
Burkholderia (OTU 403)	9.111111111111455	0.42708157572178734	9	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0	0.6516502127020608
Lachnospiraceae (OTU 576)	9.111111111111455	0.42708157572178734	9	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0	0.6516502127020608
Firmicutes (OTU 3937)	9.111111111111455	0.42708157572178734	9	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0	0.6516502127020608
