otu	statistic	p.value	parameter	method	WM	C	WMR	CWM	RM	FRM	WMC	M1	p.value.adj
Porphyromonadaceae (OTU 190)	18.13422375728671	0.011378867355803096	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.001	0.08105254747287435
Lachnospiraceae (OTU 32)	18.021428772463643	0.011873693208055239	7	Kruskal-Wallis rank sum test	0	0.002	0.0015	0.002	0.001	0.002	0	0.003	0.08329575689893297
Erysipelotrichaceae (OTU 39)	17.97000591143552	0.01210606502291068	7	Kruskal-Wallis rank sum test	0.002	0.001	0.0055	0.001	0.001	0	0	0	0.08365832993444246
Acetatifactor (OTU 138)	17.91739185977416	0.012348325131421256	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	5e-4	0.08407756670364767
Anaeroplasma (OTU 89)	17.665227404140435	0.013575279085843488	7	Kruskal-Wallis rank sum test	0	0	0	0	5e-4	5e-4	0	0.002	0.09109209009776137
Lachnospiraceae (OTU 66)	17.35999330820465	0.01521668289350688	7	Kruskal-Wallis rank sum test	0	0.001	0	0.001	0.002	0.001	0	0.001	0.10064748828133836
Porphyromonadaceae (OTU 445)	17.256142963514385	0.015817126245906716	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.10314548523739168
Lachnospiraceae (OTU 148)	16.856141112208945	0.018347736826669833	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0.0025	0	0	0.11636989247600182
Bacteria (OTU 291)	16.881472957422087	0.018176663229463756	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.11636989247600182
Porphyromonadaceae (OTU 175)	16.71134371775331	0.019355368001717645	7	Kruskal-Wallis rank sum test	0	0	0	0	5e-4	5e-4	0	0	0.12110182952426041
Bacteroides (OTU 282)	16.596842259695876	0.020189181359657752	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.12463454626028718
Lachnospiraceae (OTU 84)	16.402964675331045	0.021679289383237297	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.001	0.132072512953143
Lachnospiraceae (OTU 90)	15.803571951608262	0.02697281071561346	7	Kruskal-Wallis rank sum test	0	0	0	0.001	0	5e-4	0	0.001	0.16010783796575684
Enterorhabdus (OTU 109)	15.835120379966806	0.02666616110867523	7	Kruskal-Wallis rank sum test	0	0	0	0.001	0.001	0	0.001	0	0.16010783796575684
Ruminococcaceae (OTU 52)	15.269332120444616	0.032697831838220746	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.0015	0.18133986242462882
Lachnospiraceae (OTU 62)	15.276294707286754	0.03261637306929165	7	Kruskal-Wallis rank sum test	0	5e-4	0	0.001	0.001	0.001	0	0.0015	0.18133986242462882
Pseudoflavonifractor (OTU 69)	15.362831457506763	0.031619709899979385	7	Kruskal-Wallis rank sum test	0	0	0	0	0	5e-4	0	0.0015	0.18133986242462882
Ruminococcaceae (OTU 101)	15.344956163290037	0.031823209356806686	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.001	0.18133986242462882
Lachnospiraceae (OTU 146)	15.25214993448693	0.03289967266451149	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.006	0.18133986242462882
Firmicutes (OTU 188)	15.302373897962106	0.03231294981630396	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	5e-4	0.18133986242462882
Lachnospiraceae (OTU 30)	14.959691143332693	0.036519590483916266	7	Kruskal-Wallis rank sum test	0	0.002	5e-4	0.002	0.0015	0.0015	0	0.0025	0.18998393701183405
Lachnospiraceae (OTU 33)	15.054922360895675	0.03530178981325162	7	Kruskal-Wallis rank sum test	0	0	0	0	5e-4	0	0	5e-4	0.18998393701183405
Lachnospiraceae (OTU 77)	14.979077861226404	0.036268533046405003	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.001	0.18998393701183405
Lachnospiraceae (OTU 82)	15.000174628466642	0.03599716634774167	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.001	0.18998393701183405
Lachnospiraceae (OTU 128)	15.027511133645879	0.03564836491406749	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	5e-4	0.18998393701183405
Ruminococcaceae (OTU 92)	14.651362583132828	0.04073735095282129	7	Kruskal-Wallis rank sum test	0	0	0	0.001	0	0	0	0	0.2095710387906251
Porphyromonadaceae (OTU 122)	14.455634493102053	0.043646091076077934	7	Kruskal-Wallis rank sum test	0	0	0	0	0	5e-4	0	0.0025	0.220531710570967
Acetatifactor (OTU 247)	14.44428461833507	0.043820555880192145	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.220531710570967
Clostridiales (OTU 130)	14.376017894721883	0.04488367665109994	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.002	0.22345314289741153
Lachnospiraceae (OTU 110)	13.97587220774001	0.051612157398516906	7	Kruskal-Wallis rank sum test	0	5e-4	0	0.001	0.001	0	0	5e-4	0.25421732846290773
Lachnospiraceae (OTU 125)	13.861405106737534	0.0537020245824106	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.001	0.2617267092805906
Parabacteroides (OTU 275)	13.532357782120844	0.06015206935888712	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.290108417845466
